annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1149.4,10.311232876712328,8.387945205479452,0.6410958904109589,93.08317025440314,120,5.40778048390247,19.0,21.785714285714285,0.2093150684931506,4354,4354,1.0,C,378,8,40,1001,screen,28.0,4.0,v2.2,False
1204.8,7.655342465753424,4.2,1.1517808219178085,97.2783757338552,122,5.700791073671907,20.799999999999955,22.467391304347824,0.273972602739726,3913,3913,1.0,C,378,8,40,1002,screen,21.0,0.0,v2.2,False
1226.8,7.420821917808219,5.8213698630136985,0.5331506849315069,95.2783757338552,120,3.757945439910472,14.0,15.80952380952381,0.2065753424657534,3850,3850,1.0,C,378,8,40,1002,screen,21.0,2.0,v2.2,False
1137.6,10.566575342465754,8.76,0.6021917808219178,92.71624266144816,121,5.40427873735178,19.0,20.267857142857142,0.210958904109589,3654,3654,1.0,C,378,8,40,1002,screen,21.0,4.0,v2.2,False
1238.0,7.702465753424658,4.452602739726028,1.0832876712328767,96.9916829745597,121,4.997117530107652,18.0,20.80327868852459,0.2624657534246575,4620,4620,1.0,C,378,8,40,1002,screen,28.0,0.0,v2.2,False
1220.2,6.638904109589041,4.901369863013699,0.5791780821917808,96.14090019569473,120,3.735280894359792,12.0,13.723926380368098,0.2147945205479452,4599,4599,1.0,C,378,8,40,1002,screen,28.0,2.0,v2.2,False
1145.4,10.744657534246576,8.995616438356164,0.583013698630137,92.48874755381604,120,5.40898630990549,18.799999999999955,20.032608695652176,0.2142465753424657,4396,4396,1.0,C,378,8,40,1002,screen,28.0,4.0,v2.2,False
1213.8,7.355616438356164,4.352328767123288,1.0010958904109588,97.0078277886497,122,5.039221438245892,18.0,21.094736842105263,0.2663013698630137,3899,3899,1.0,C,378,8,40,1003,screen,21.0,0.0,v2.2,False
1164.0,10.265205479452057,6.632328767123288,1.210958904109589,95.15949119373778,121,4.882593082849446,19.0,21.57894736842105,0.256986301369863,3745,3745,1.0,C,378,8,40,1003,screen,21.0,2.0,v2.2,False
1118.0,10.467945205479452,8.276712328767124,0.7304109589041096,93.26223091976516,121,5.094629460431953,19.0,20.8494623655914,0.2263013698630137,3633,3633,1.0,C,378,8,40,1003,screen,21.0,4.0,v2.2,False
1240.4,6.893698630136987,3.331506849315069,1.1873972602739726,98.08561643835615,122,5.486295602465764,18.0,20.53191489361702,0.2871232876712328,4627,4627,1.0,C,378,8,40,1003,screen,28.0,0.0,v2.2,False
1154.6,9.39780821917808,7.083287671232877,0.7715068493150685,94.36448140900195,121,5.187344968771795,18.0,20.319444444444443,0.2389041095890411,4501,4501,1.0,C,378,8,40,1003,screen,28.0,2.0,v2.2,False
1129.0,9.991780821917809,8.075068493150685,0.6389041095890411,93.3605675146771,124,5.484871373790123,19.0,20.925619834710744,0.2180821917808219,4431,4431,1.0,C,378,8,40,1003,screen,28.0,4.0,v2.2,False
1230.4,7.477808219178082,4.282191780821917,1.065205479452055,97.12769080234834,123,5.084448642722301,18.0,21.0,0.2504109589041096,4039,4039,1.0,C,378,8,40,1004,screen,21.0,0.0,v2.2,False
1177.6,9.49917808219178,6.839452054794521,0.8865753424657534,94.68493150684932,120,4.574448052167112,18.0,19.51546391752577,0.2394520547945205,3752,3752,1.0,C,378,8,40,1004,screen,21.0,2.0,v2.2,False
1117.4,11.187397260273972,9.37917808219178,0.6027397260273972,92.16389432485325,122,5.698949105618989,20.0,22.21100917431193,0.2,3647,3647,1.0,C,378,8,40,1004,screen,21.0,4.0,v2.2,False
1226.4,7.6657534246575345,4.256438356164384,1.1364383561643836,97.21428571428572,123,5.373857976853811,20.399999999999864,23.51086956521739,0.2608219178082192,4655,4655,1.0,C,378,8,40,1004,screen,28.0,0.0,v2.2,False
1208.6,7.801095890410959,5.869589041095891,0.6438356164383562,95.33414872798434,121,4.025330827652553,14.0,15.928571428571429,0.2136986301369863,4550,4550,1.0,C,378,8,40,1004,screen,28.0,2.0,v2.2,False
1117.6,11.383013698630135,9.55835616438356,0.6082191780821918,92.00880626223092,122,5.682926560306245,20.0,21.38135593220339,0.2186301369863013,4403,4403,1.0,C,378,8,40,1004,screen,28.0,4.0,v2.2,False
1239.0,6.346849315068493,2.7895890410958906,1.1857534246575343,98.56800391389432,125,6.140150631026041,21.0,25.9468085106383,0.3024657534246575,3990,3990,1.0,C,378,8,40,1005,screen,21.0,0.0,v2.2,False
1180.4,8.826849315068493,6.247671232876712,0.8597260273972602,95.18933463796478,121,4.572712038355858,17.0,18.792079207920796,0.2410958904109589,3731,3731,1.0,C,378,8,40,1005,screen,21.0,2.0,v2.2,False
1144.2,10.964931506849316,8.977534246575342,0.6624657534246575,92.57583170254404,120,6.127561924663937,21.0,23.403361344537814,0.2120547945205479,3626,3626,1.0,C,378,8,40,1005,screen,21.0,4.0,v2.2,False
1235.2,6.490958904109589,2.706849315068493,1.261369863013699,98.70939334637964,124,6.170374396052069,20.399999999999864,25.695652173913043,0.3189041095890411,4648,4648,1.0,C,378,8,40,1005,screen,28.0,0.0,v2.2,False
1186.4,9.167123287671233,6.32,0.949041095890411,95.2045009784736,121,4.464530497632135,18.0,19.322916666666668,0.2608219178082192,4487,4487,1.0,C,378,8,40,1005,screen,28.0,2.0,v2.2,False
1140.8,11.424657534246576,8.853698630136986,0.856986301369863,92.8600782778865,120,5.696157638980283,21.0,22.739837398373982,0.2547945205479452,4319,4319,1.0,C,378,8,40,1005,screen,28.0,4.0,v2.2,False
1235.8,7.313424657534247,4.004383561643835,1.103013698630137,97.40949119373778,126,5.721838028586488,21.0,24.35483870967742,0.2789041095890411,3927,3927,1.0,C,378,8,40,1006,screen,21.0,0.0,v2.2,False
1222.4,7.2526027397260275,5.095890410958904,0.718904109589041,96.09197651663403,120,3.686044548999293,15.0,17.105263157894736,0.2252054794520548,3857,3857,1.0,C,378,8,40,1006,screen,21.0,2.0,v2.2,False
1143.4,10.768767123287672,8.230684931506849,0.846027397260274,93.40655577299414,120,5.063328106735963,20.0,21.221052631578942,0.2427397260273972,3591,3591,1.0,C,378,8,40,1006,screen,21.0,4.0,v2.2,False
1250.6,7.356712328767124,4.254794520547946,1.033972602739726,97.12426614481409,122,4.912433890562971,15.0,18.392857142857142,0.267945205479452,4648,4648,1.0,C,378,8,40,1006,screen,28.0,0.0,v2.2,False
1239.2,7.712328767123288,5.422465753424658,0.7632876712328767,95.84001956947162,122,4.209948834617653,15.0,18.025641025641026,0.2087671232876712,4641,4641,1.0,C,378,8,40,1006,screen,28.0,2.0,v2.2,False
1147.0,9.712876712328766,7.894794520547945,0.606027397260274,93.4921722113503,120,5.4417543548955125,19.0,21.84873949579832,0.2082191780821917,4410,4410,1.0,C,378,8,40,1006,screen,28.0,4.0,v2.2,False
1253.2,6.20054794520548,2.9178082191780823,1.0942465753424655,98.37181996086105,122,5.281058893150576,18.0,20.873949579831933,0.2767123287671232,3997,3997,1.0,C,378,8,40,1007,screen,21.0,0.0,v2.2,False
1166.6,10.225205479452054,6.934246575342466,1.096986301369863,94.78816046966732,123,4.773742632511852,18.0,20.14074074074074,0.269041095890411,3682,3682,1.0,C,378,8,40,1007,screen,21.0,2.0,v2.2,False
