day,pens_total,empty,shortage,daily_loss,lambs_sold_today,cumulative_sold,n_avail,n_mate,n_pend,n_preg,n_nurs,n_rest,mate_pens,pending_pens,preg_pens,nurs_pens,rest_pens,fatt_pens,ram_pens,active_batches
840,118,0,6,18.0,9,1508,83,0,14,174,99,8,0,2,22,18,2,66,2,0
841,116,0,4,12.0,11,1519,83,0,14,172,101,8,0,2,22,18,2,64,2,0
842,116,0,4,12.0,8,1527,84,0,14,172,101,7,0,2,22,18,2,64,2,0
843,116,0,4,12.0,6,1533,84,0,14,169,104,7,0,2,22,19,2,63,2,0
844,113,0,1,3.0,6,1539,86,0,14,167,105,6,0,2,21,19,2,60,2,0
845,113,0,1,3.0,7,1546,86,0,14,167,104,7,0,2,21,19,2,60,2,0
846,114,0,2,6.0,4,1550,86,0,14,161,106,11,0,2,21,19,3,60,2,0
847,116,0,4,12.0,9,1559,86,0,14,158,107,13,0,2,20,20,3,62,2,0
848,116,0,4,12.0,9,1568,87,0,14,155,105,17,0,2,20,20,2,63,2,0
849,115,0,3,9.0,4,1572,87,0,14,154,106,17,0,2,20,20,2,62,2,0
850,115,0,3,9.0,16,1588,87,0,14,153,105,19,0,2,20,21,2,61,2,0
851,111,1,0,1.0,5,1593,87,0,14,151,106,20,0,2,19,19,2,60,2,0
852,111,1,0,1.0,8,1601,87,0,14,146,108,23,0,2,19,20,3,58,2,0
853,110,2,0,2.0,11,1612,87,0,14,146,106,25,0,2,19,19,3,58,2,0
854,110,2,0,2.0,8,1620,59,28,14,144,105,28,2,2,18,19,4,58,2,0
855,114,0,2,6.0,2,1622,59,28,0,156,100,35,2,0,20,19,5,61,2,0
856,114,0,2,6.0,6,1628,60,28,0,155,96,39,2,0,20,18,5,62,2,0
857,115,0,3,9.0,0,1628,60,28,0,153,94,43,2,0,20,19,5,62,2,0
858,114,0,2,6.0,4,1632,63,28,0,152,91,44,2,0,19,19,5,62,2,0
859,113,0,1,3.0,2,1634,63,28,0,152,89,46,2,0,19,17,6,62,2,0
860,112,0,0,0.0,4,1638,63,28,0,150,89,48,2,0,19,17,7,60,2,0
861,110,2,0,2.0,10,1648,35,56,0,147,90,50,4,0,19,16,7,60,1,1
862,110,2,0,2.0,0,1648,36,56,0,145,90,51,4,0,19,16,6,61,1,0
863,111,1,0,1.0,7,1655,37,56,0,143,87,55,4,0,18,17,6,62,1,0
864,113,0,1,3.0,7,1662,41,56,0,139,90,52,4,0,18,18,6,63,1,0
865,114,0,2,6.0,6,1668,43,56,0,133,94,52,4,0,17,19,6,63,1,0
866,112,0,0,0.0,9,1677,48,56,0,129,94,51,4,0,17,19,6,61,1,0
867,110,2,0,2.0,0,1677,48,56,0,126,93,55,4,0,16,17,6,62,1,0
868,107,5,0,5.0,9,1686,22,84,0,124,95,53,6,0,16,17,6,59,1,2
869,109,3,0,3.0,6,1692,23,84,0,121,92,58,6,0,16,17,7,60,1,0
870,108,4,0,4.0,3,1695,26,84,0,115,96,57,6,0,15,17,6,61,1,0
871,110,2,0,2.0,11,1706,28,84,0,113,90,63,6,0,15,17,6,63,1,0
872,112,0,0,0.0,3,1709,31,84,0,111,89,63,6,0,14,18,6,64,1,0
873,111,1,0,1.0,2,1711,38,84,0,110,90,56,6,0,14,18,5,64,1,0
874,115,0,3,9.0,7,1718,43,56,28,107,91,53,4,4,14,19,6,63,1,0
875,111,1,0,1.0,4,1722,47,56,28,105,91,51,4,4,14,17,5,62,1,2
876,109,3,0,3.0,5,1727,51,56,28,100,96,47,4,4,13,18,5,60,1,0
877,109,3,0,3.0,0,1727,53,56,28,100,95,46,4,4,13,18,5,60,1,0
878,109,3,0,3.0,4,1731,55,56,28,97,97,45,4,4,13,17,5,61,1,0
879,111,1,0,1.0,2,1733,57,56,28,96,93,48,4,4,12,17,5,63,1,0
880,114,0,2,6.0,4,1737,59,56,28,92,95,48,4,4,12,19,5,64,1,0
881,113,0,1,3.0,4,1741,64,28,56,88,97,45,2,7,11,19,4,63,2,0
882,115,0,3,9.0,4,1745,65,28,56,82,103,44,2,7,11,20,5,63,2,1
883,111,1,0,1.0,7,1752,67,28,56,79,103,45,2,7,10,19,5,61,2,0
884,111,1,0,1.0,4,1756,71,28,56,75,105,43,2,7,10,20,4,60,2,0
885,111,1,0,1.0,9,1765,75,28,56,73,107,39,2,7,10,20,4,60,2,0
886,110,2,0,2.0,2,1767,75,28,56,69,105,45,2,7,9,18,5,61,2,0
887,114,0,2,6.0,15,1782,81,28,56,65,106,42,2,7,9,20,5,63,2,0
888,116,0,4,12.0,0,1782,83,0,84,65,103,43,0,11,9,20,5,63,2,0
889,115,0,3,9.0,8,1790,91,0,84,58,109,36,0,11,8,20,4,63,2,0
890,115,0,3,9.0,7,1797,94,0,84,56,110,34,0,11,7,21,4,63,2,0
