method,annual_output,gap_vs_enum,gap_vs_bound_pct
枚举基准,1204.9781659388645,0.0,12.760215221459752
MILP最优,1357.9912663755458,153.01310043668127,1.6821473130736848
Little定律上界,1381.2255142510073,176.24734831214278,0.0
