scheme,mean_output,std_output,ci95_output_low,ci95_output_high,mean_loss,std_loss,ci95_loss_low,ci95_loss_high,loss_p95,loss_CVaR95,mean_idle,mean_shortage,utilization,max_daily_pens,rental_day_ratio
A,1255.04,8.442323589285536,1251.887584563263,1258.1924154367368,24.374082191780822,1.2284616492046314,23.915367073195835,24.83279731036581,34.9,36.451561564184246,5.479452054794333e-05,8.124675799086758,107.2541258969341,129,0.9995433789954338
B,1091.1666666666667,9.638726963207562,1087.5675068680694,1094.7658264652641,4.2028127853881285,0.4753100139253951,4.025329109325808,4.380296461450449,7.5266666666666655,8.016142837844656,4.126429223744292,0.025461187214611828,96.33842139595565,116,0.018356164383561597
C_h35,1157.2933333333335,9.779321368928482,1153.641674720846,1160.9449919458211,11.445205479452053,1.0269101890629695,11.06175091295652,11.828660045947586,25.486666666666665,29.55216755220031,6.797095890410959,1.5493698630136987,95.31453033268099,128,0.2879634703196346
C_h40,1234.3999999999999,15.65560382209779,1228.554101458175,1240.2458985418248,7.293625570776256,0.6845368988296611,7.038015291915902,7.54923584963661,18.9,21.882594468388607,3.8942283105022835,1.133132420091324,97.53473581213306,125,0.26599086757990864
C_h45,1218.6399999999996,5.674966200719649,1216.5209327947562,1220.7590672052431,5.316401826484019,0.7241465060872716,5.046001077199095,5.586802575768943,12.859999999999998,15.918789145736733,3.5862100456621,0.5767305936073058,97.31296477495108,124,0.19523287671232875
