N,q_max,B,h,mean_output,mean_loss,feasible,pareto_fb
378,21,0,45,1216.8799999999999,5.0118904109589035,True,True
378,28,0,45,1219.52,5.191890410958904,True,True
390,28,0,45,1241.42,7.148109589041094,True,True
