seed,v1,v2.1,v2.2.1,max_abs_diff
1000,1120.8,1120.8,1120.8,0.0
1001,1130.4,1130.4,1130.4,0.0
1002,1137.6,1137.6,1137.6,0.0
1003,1118.0,1118.0,1118.0,0.0
1004,1117.4,1117.4,1117.4,0.0
1005,1144.2,1144.2,1144.2,0.0
1006,1143.4,1143.4,1143.4,0.0
1007,1148.0,1148.0,1148.0,0.0
1008,1088.2,1088.2,1088.2,0.0
1009,1163.4,1163.4,1163.4,0.0
